epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.40625,0.7647697925567627,,
0,99,0.484375,0.7357265949249268,,
0,149,0.5625,0.690536618232727,,
0,199,0.5625,0.7085890173912048,,
0,249,0.5,0.7139160633087158,,
0,299,0.421875,0.7286206483840942,,
0,349,0.453125,0.7069579362869263,,
0,399,0.484375,0.6912623643875122,,
0,449,0.515625,0.7102079391479492,,
0,499,0.5625,0.6677388548851013,,
0,549,0.5625,0.6791258454322815,,
0,599,0.609375,0.6755352020263672,,
0,649,0.5,0.6794576048851013,,
0,699,0.53125,0.6813743114471436,,
0,749,0.59375,0.6945964097976685,,
0,799,0.53125,0.6786463260650635,,
0,849,0.578125,0.6742051839828491,,
0,899,0.515625,0.7041553258895874,,
0,949,0.5625,0.6585358381271362,,
0,999,0.578125,0.6487644910812378,,
0,1049,0.65625,0.6532987356185913,,
0,1099,0.65625,0.6228868365287781,,
0,1149,0.671875,0.6235766410827637,,
0,1199,0.59375,0.6642895936965942,,
0,1249,0.53125,0.6930559873580933,,
0,1299,0.515625,0.6976173520088196,,
0,1349,0.625,0.6248906850814819,,
0,1399,0.640625,0.6378893256187439,,
0,1449,0.65625,0.6376708745956421,,
0,1499,0.640625,0.6618348360061646,,
0,1549,0.671875,0.6349174976348877,,
0,1599,0.53125,0.6538751721382141,,
0,1649,0.625,0.6586840748786926,,
0,1699,0.671875,0.6201076507568359,,
0,1749,0.65625,0.645844042301178,,
0,1799,0.609375,0.6219050884246826,,
0,1849,0.59375,0.625907301902771,,
0,1899,0.703125,0.6159452199935913,,
0,1915,,,0.6228617429733276,0.6415712237358093
1,1949,0.65625,0.6446943879127502,,
1,1999,0.5,0.6982605457305908,,
1,2049,0.609375,0.6201503872871399,,
1,2099,0.5625,0.643633246421814,,
1,2149,0.59375,0.6366875171661377,,
1,2199,0.578125,0.6614722609519958,,
1,2249,0.640625,0.6181554198265076,,
1,2299,0.671875,0.6032818555831909,,
1,2349,0.59375,0.6410157680511475,,
1,2399,0.625,0.6515524387359619,,
1,2449,0.71875,0.5676276683807373,,
1,2499,0.5625,0.6709043383598328,,
1,2549,0.625,0.61695396900177,,
1,2599,0.546875,0.7111243009567261,,
1,2649,0.640625,0.6429637670516968,,
1,2699,0.609375,0.596488893032074,,
1,2749,0.609375,0.6092685461044312,,
1,2799,0.53125,0.6630093455314636,,
1,2849,0.640625,0.6523300409317017,,
1,2899,0.765625,0.5486372709274292,,
1,2949,0.546875,0.6377241015434265,,
1,2999,0.546875,0.6926383972167969,,
1,3049,0.71875,0.6001479625701904,,
1,3099,0.5625,0.7338082790374756,,
1,3149,0.640625,0.6300415992736816,,
1,3199,0.703125,0.6260248422622681,,
1,3249,0.6875,0.5676980018615723,,
1,3299,0.609375,0.685346245765686,,
1,3349,0.5625,0.6777089834213257,,
1,3399,0.671875,0.575568675994873,,
1,3449,0.671875,0.6080088019371033,,
1,3499,0.734375,0.614092230796814,,
1,3549,0.671875,0.5562935471534729,,
1,3599,0.625,0.6065051555633545,,
1,3649,0.671875,0.5486424565315247,,
1,3699,0.609375,0.6544426679611206,,
1,3749,0.578125,0.6128063201904297,,
1,3799,0.71875,0.6090259552001953,,
1,3831,,,0.6652962565422058,0.6077025532722473
2,3849,0.703125,0.5769010782241821,,
2,3899,0.59375,0.5847253203392029,,
2,3949,0.671875,0.6182578802108765,,
2,3999,0.71875,0.5468519926071167,,
2,4049,0.71875,0.5909440517425537,,
2,4099,0.6875,0.6056111454963684,,
2,4149,0.640625,0.6099992394447327,,
2,4199,0.59375,0.6780871748924255,,
2,4249,0.734375,0.5709088444709778,,
2,4299,0.71875,0.5368016958236694,,
2,4349,0.609375,0.6447432041168213,,
2,4399,0.640625,0.6339215040206909,,
2,4449,0.765625,0.5619745254516602,,
2,4499,0.640625,0.587470531463623,,
2,4549,0.75,0.577481210231781,,
2,4599,0.6875,0.5693213939666748,,
2,4649,0.546875,0.6857356429100037,,
2,4699,0.578125,0.6378187537193298,,
2,4749,0.71875,0.5849229097366333,,
2,4799,0.578125,0.650141716003418,,
2,4849,0.578125,0.6832820177078247,,
2,4899,0.65625,0.6352570056915283,,
