epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.5,0.7070722579956055,,
0,99,0.40625,0.7254008650779724,,
0,149,0.46875,0.7036621570587158,,
0,199,0.53125,0.6857175230979919,,
0,249,0.546875,0.6599965691566467,,
0,299,0.453125,0.6901208758354187,,
0,349,0.578125,0.6899363398551941,,
0,399,0.484375,0.6862844228744507,,
0,449,0.671875,0.6534669399261475,,
0,499,0.578125,0.6680855751037598,,
0,549,0.703125,0.6529315710067749,,
0,599,0.484375,0.692164421081543,,
0,649,0.421875,0.7001469135284424,,
0,699,0.625,0.6735333204269409,,
0,749,0.640625,0.641506552696228,,
0,799,0.515625,0.7077590227127075,,
0,849,0.609375,0.6389300227165222,,
0,899,0.640625,0.663692057132721,,
0,949,0.53125,0.6659427881240845,,
0,999,0.5625,0.6343561410903931,,
0,1049,0.6875,0.6423500776290894,,
0,1099,0.5625,0.7003046274185181,,
0,1149,0.609375,0.6368108987808228,,
0,1199,0.578125,0.6412869691848755,,
0,1249,0.59375,0.6728605031967163,,
0,1299,0.671875,0.6047868728637695,,
0,1349,0.703125,0.6379283666610718,,
0,1399,0.609375,0.6490672826766968,,
0,1449,0.609375,0.6815915107727051,,
0,1499,0.671875,0.6192537546157837,,
0,1549,0.578125,0.6450658440589905,,
0,1599,0.65625,0.6098955869674683,,
0,1649,0.546875,0.6865692138671875,,
0,1699,0.625,0.6542682647705078,,
0,1749,0.640625,0.6148227453231812,,
0,1799,0.703125,0.5840274095535278,,
0,1849,0.640625,0.6461582779884338,,
0,1899,0.5625,0.6637799739837646,,
0,1915,,,0.6534762382507324,0.6196022629737854
1,1949,0.5625,0.6280239820480347,,
1,1999,0.578125,0.6691668033599854,,
1,2049,0.703125,0.6208281517028809,,
1,2099,0.625,0.6293354034423828,,
1,2149,0.609375,0.6202635765075684,,
1,2199,0.65625,0.6308622360229492,,
1,2249,0.671875,0.6705566048622131,,
1,2299,0.59375,0.6281471252441406,,
1,2349,0.65625,0.6210017800331116,,
1,2399,0.734375,0.5699324607849121,,
1,2449,0.65625,0.6370587348937988,,
1,2499,0.65625,0.6367664933204651,,
1,2549,0.6875,0.5683273673057556,,
1,2599,0.671875,0.5710834860801697,,
1,2649,0.65625,0.6086241006851196,,
1,2699,0.75,0.551676869392395,,
1,2749,0.71875,0.5583816766738892,,
1,2799,0.75,0.589779257774353,,
1,2849,0.703125,0.5697551965713501,,
1,2899,0.65625,0.6122647523880005,,
1,2949,0.75,0.5722537040710449,,
1,2999,0.609375,0.6567546129226685,,
1,3049,0.625,0.6229516267776489,,
1,3099,0.609375,0.6644376516342163,,
1,3149,0.6875,0.603701114654541,,
1,3199,0.8125,0.4904404282569885,,
1,3249,0.703125,0.5534859895706177,,
1,3299,0.640625,0.6068232655525208,,
1,3349,0.71875,0.5642811059951782,,
1,3399,0.640625,0.6319562196731567,,
1,3449,0.609375,0.6091578006744385,,
1,3499,0.609375,0.7145631909370422,,
1,3549,0.578125,0.6512831449508667,,
1,3599,0.703125,0.5620510578155518,,
1,3649,0.6875,0.5579562187194824,,
1,3699,0.671875,0.6244769096374512,,
1,3749,0.6875,0.5682315826416016,,
1,3799,0.703125,0.5808813571929932,,
1,3831,,,0.6816679835319519,0.5863799452781677
2,3849,0.640625,0.6387276649475098,,
2,3899,0.5625,0.7120510339736938,,
2,3949,0.75,0.5585315227508545,,
2,3999,0.65625,0.6185612082481384,,
2,4049,0.703125,0.5740604400634766,,
2,4099,0.5625,0.6988197565078735,,
2,4149,0.734375,0.5403463840484619,,
2,4199,0.625,0.6208815574645996,,
2,4249,0.640625,0.621954083442688,,
2,4299,0.640625,0.5832878351211548,,
2,4349,0.59375,0.6454311609268188,,
2,4399,0.640625,0.6038879752159119,,
2,4449,0.734375,0.5633842945098877,,
2,4499,0.703125,0.6322140693664551,,
2,4549,0.71875,0.5413775444030762,,
2,4599,0.671875,0.6576293110847473,,
2,4649,0.78125,0.5579044818878174,,
2,4699,0.71875,0.5676002502441406,,
2,4749,0.78125,0.5202112793922424,,
2,4799,0.65625,0.6057194471359253,,
2,4849,0.734375,0.6036806106567383,,
2,4899,0.640625,0.6498901844024658,,
2,4949,0.578125,0.6296011805534363,,
2,4999,0.734375,0.5768115520477295,,
2,5049,0.640625,0.6247724890708923,,
2,5099,0.71875,0.5927493572235107,,
2,5149,0.765625,0.5357713103294373,,
2,5199,0.625,0.6284033060073853,,
2,5249,0.71875,0.5754404664039612,,
2,5299,0.703125,0.6049304604530334,,
2,5349,0.65625,0.6178332567214966,,
2,5399,0.703125,0.5873932838439941,,
2,5449,0.703125,0.5782819986343384,,
2,5499,0.59375,0.6677689552307129,,
2,5549,0.6875,0.5517606735229492,,
2,5599,0.625,0.6494579315185547,,
2,5649,0.65625,0.5618799924850464,,
